epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.115,1.79832,1.86246,1.33693,0.83569,0.80535,0.85953,0.44107,1.59318,0.98484,1.29115,0.00333215,0.00333215,0.00333215
2,568.098,1.58715,1.21856,1.2689,0.90608,0.8733,0.93748,0.52716,1.41141,0.9211,1.20499,0.0060056,0.0060056,0.0060056
3,829.16,1.54626,1.14673,1.25502,0.91674,0.88717,0.93322,0.51766,1.45118,0.90723,1.22225,0.00801905,0.00801905,0.00801905
4,1093.87,1.519,1.09026,1.2491,0.92465,0.89388,0.95047,0.54448,1.36391,0.89398,1.19052,0.00703,0.00703,0.00703
5,1355.83,1.48735,1.05293,1.23488,0.92847,0.89653,0.94852,0.54869,1.35135,0.87768,1.18958,0.00604,0.00604,0.00604
6,1614.89,1.46975,1.03007,1.22645,0.93421,0.906,0.95741,0.55848,1.33641,0.84975,1.18366,0.00505,0.00505,0.00505
7,1876.63,1.45391,1.01669,1.21994,0.93327,0.91822,0.95924,0.56066,1.3274,0.8507,1.17848,0.00406,0.00406,0.00406
8,2134.99,1.43897,1.00397,1.21374,0.93346,0.92128,0.96077,0.56197,1.32504,0.84494,1.17644,0.00307,0.00307,0.00307
9,2386.88,1.42764,0.99179,1.20939,0.9335,0.92154,0.96132,0.5629,1.32079,0.84276,1.17433,0.00208,0.00208,0.00208
10,2632.88,1.41392,0.98224,1.20189,0.9348,0.92406,0.96229,0.5636,1.31698,0.84309,1.17217,0.00109,0.00109,0.00109
