epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.659,0.95355,1.80031,0.97529,0.93055,0.91294,0.9693,0.86249,0.60512,0.54679,1.00525,0.00333191,0.00333191,0.00333191
2,909.584,0.62347,0.76296,0.86009,0.92306,0.89337,0.96456,0.85514,0.58547,0.61967,0.96272,0.00600539,0.00600539,0.00600539
3,1347.35,0.57308,0.59248,0.84835,0.9881,0.98145,0.99296,0.9349,0.43523,0.29282,0.92488,0.00801886,0.00801886,0.00801886
4,1785.56,0.51378,0.4952,0.83528,0.99187,0.98601,0.9939,0.95581,0.37326,0.23792,0.91545,0.00703,0.00703,0.00703
5,2222.49,0.46115,0.43449,0.8239,0.99415,0.98749,0.99404,0.96362,0.35154,0.22297,0.91711,0.00604,0.00604,0.00604
6,2653.93,0.4335,0.40424,0.81821,0.99475,0.99034,0.99421,0.96792,0.33738,0.20899,0.90949,0.00505,0.00505,0.00505
7,3085.15,0.41088,0.38105,0.81345,0.99502,0.99177,0.9943,0.96929,0.33098,0.20223,0.90961,0.00406,0.00406,0.00406
8,3511.3,0.39421,0.36322,0.81044,0.99512,0.99278,0.99435,0.97119,0.3253,0.1968,0.91067,0.00307,0.00307,0.00307
9,3936.58,0.37657,0.345,0.80699,0.99505,0.99332,0.99438,0.97187,0.32191,0.19387,0.90913,0.00208,0.00208,0.00208
10,4361.27,0.35839,0.32664,0.80416,0.99514,0.99379,0.9944,0.97257,0.31938,0.19222,0.90921,0.00109,0.00109,0.00109
