epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.435,0.62229,0.37973,0.94013,0.99325,0.99406,0.99408,0.93236,0.3658,0.24768,0.77767,0.00333096,0.00333096,0.00333096
2,477.867,0.41167,0.26464,0.82467,0.99247,0.99268,0.99338,0.93451,0.35452,0.22918,0.78087,0.00600453,0.00600453,0.00600453
3,709.459,0.39004,0.25194,0.81782,0.99613,0.99576,0.99445,0.95484,0.30179,0.22132,0.76147,0.0080181,0.0080181,0.0080181
4,941.716,0.36637,0.24136,0.81163,0.99711,0.99718,0.99468,0.96942,0.24512,0.17786,0.75173,0.00703,0.00703,0.00703
5,1173.92,0.33041,0.21947,0.80275,0.99782,0.99749,0.99471,0.97632,0.21763,0.16152,0.74703,0.00604,0.00604,0.00604
6,1405.25,0.30524,0.20331,0.79744,0.9981,0.99833,0.99473,0.98165,0.19335,0.14516,0.74128,0.00505,0.00505,0.00505
7,1636.47,0.2843,0.18913,0.79336,0.99836,0.99863,0.99477,0.98322,0.18716,0.13724,0.73933,0.00406,0.00406,0.00406
8,1866.59,0.26474,0.17621,0.7897,0.99888,0.99866,0.99478,0.98537,0.17649,0.12992,0.73878,0.00307,0.00307,0.00307
9,2099.46,0.24673,0.16388,0.78629,0.99903,0.99874,0.9948,0.98576,0.17267,0.12538,0.73707,0.00208,0.00208,0.00208
10,2329.76,0.22865,0.1516,0.78284,0.99922,0.99897,0.9948,0.98654,0.1687,0.12235,0.73647,0.00109,0.00109,0.00109
